date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:38	67/67	U-----	200	untouched ('OK')	text/plain	date:Sat,%2004%20Feb%202023%2020:20:52%20GMT	https://rajanpande.com/robots.txt		(from )
12:48:38	72145/72145	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:52%20GMT	https://rajanpande.com/	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/index.html	(from )
12:48:39	72145/72145	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:53%20GMT	https://rajanpande.com/work	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/work.html	(from https://rajanpande.com/)
12:48:39	17023/17023	U-----	200	untouched ('')	text/javascript	date:Sat,%2004%20Feb%202023%2020:20:54%20GMT	http://use.typekit.net/ik/1Kpzgqd_2LL8sGvypQXznzOn9A7o7gjf_DItdjD1V7IfezSgfHYEBsJzwD9oFDIDWD9XjDFc5e4ywh9UFRSowRJ3wAjUjQyyF2FqZRSDjcsKFAJ3wRIXFRb-K6I7OcuoSeNkieZzde8zOcFzdP37O1gkdDJlic88ikolpWgzS1scdhUTdkoRdhXCHKokjATyd1gydcs8OcFzdPUlpWgzS1scdhUTdkoRdhXCSY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPUkjATyd1gydcs8OcFzdPUaiaS0ScB7jAo3jAoqZPoRdhXKgeZXdcCKgYFGpcw7fbKImsMMeMb6MKG4fJBmIMMjgkMfH6GJ8HbfIMIjgfMfqMeWXz7Ag6.js?cb=1f81a2f668f6077716c7aaad295d94bee95c90bb	D:/College/UMD/Job/Website/rajanpande/use.typekit.net/ik/1Kpzgqd_2LL8sGvypQXznzOn9A7o7gjf_DItdjD1V7IfezSgfHYEBsJzwD9oFDIDWD9XjDFc5e4ywh9UFRSowRJ3wAjUjQyyF2FqZRSDjcsKFAJ3wRIXFRb-K6I7OcuoSeNkieZzde8zOcFzdP37O1gkdDJlic88ikolpWgzS1scdhUTdko	(from https://rajanpande.com/)
12:48:40	68093/68093	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:54%20GMT	https://rajanpande.com/path-planning-projects-1	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/path-planning-projects-1.html	(from https://rajanpande.com/)
12:48:41	99455/99455	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:54%20GMT	https://rajanpande.com/computer-vision-projects-1	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/computer-vision-projects-1.html	(from https://rajanpande.com/)
12:48:42	62418/62418	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:54%20GMT	https://rajanpande.com/general-robotics	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/general-robotics.html	(from https://rajanpande.com/)
12:48:43	68022/68022	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:56%20GMT	https://rajanpande.com/machine-learning	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/machine-learning.html	(from https://rajanpande.com/)
12:48:43	61581/61581	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:58%20GMT	https://rajanpande.com/miscellaneous	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/miscellaneous.html	(from https://rajanpande.com/)
12:48:44	54235/54235	U-----	200	untouched ('OK')	text/html	date:Sat,%2004%20Feb%202023%2020:20:59%20GMT	https://rajanpande.com/about	D:/College/UMD/Job/Website/rajanpande/rajanpande.com/about.html	(from https://rajanpande.com/)
